loan_id,origination_month,channel,product,region,credit_score,risk_band,principal_ugx,term_months,apr,months_on_book,days_past_due,delinquency_bucket,loan_status,months_to_default,principal_repaid_ugx,outstanding_ugx,contact_strategy
LN-500001,2024-01,Digital app,Salary advance,Eastern,701,Prime,1553000.0,12,0.2057,12,0,Current,Closed,,1553000.0,0.0,Field visit
LN-500002,2024-01,Agent network,Salary advance,Central,586,Subprime,408000.0,24,0.3733,24,0,Current,Closed,,408000.0,0.0,None
LN-500003,2024-01,Partner retail,Salary advance,Northern,551,Subprime,2773000.0,12,0.3755,12,0,Current,Closed,,2773000.0,0.0,SMS only
LN-500004,2024-01,Agent network,Consumer durable,Northern,651,Near-prime,1522000.0,12,0.3192,12,0,Current,Closed,,1522000.0,0.0,Call + SMS
LN-500005,2024-01,Partner retail,Consumer durable,Northern,689,Near-prime,394000.0,12,0.315,12,0,Current,Closed,,394000.0,0.0,None
LN-500006,2024-01,Agent network,SME working capital,Central,467,Subprime,2882000.0,12,0.3834,12,0,Current,Closed,,2882000.0,0.0,Call + SMS
LN-500007,2024-01,Partner retail,Asset finance,Western,668,Near-prime,1192000.0,12,0.3009,12,0,Current,Closed,,1192000.0,0.0,SMS only
LN-500008,2024-01,Branch,Salary advance,Eastern,615,Subprime,658000.0,6,0.3479,6,0,Current,Closed,,658000.0,0.0,None
LN-500009,2024-01,Agent network,SME working capital,Northern,617,Subprime,1516000.0,12,0.3839,12,0,Current,Closed,,1516000.0,0.0,Field visit
LN-500010,2024-01,Digital app,SME working capital,Central,701,Prime,1034000.0,9,0.2274,9,0,Current,Closed,,1034000.0,0.0,None
LN-500011,2024-01,Digital app,Salary advance,Central,658,Near-prime,1347000.0,6,0.3231,6,0,Current,Closed,,1347000.0,0.0,Call + SMS
LN-500012,2024-01,Branch,SME working capital,Eastern,679,Near-prime,3736000.0,18,0.3266,18,38,30-59,Closed,,3736000.0,0.0,Field visit
LN-500013,2024-01,Agent network,SME working capital,Central,573,Subprime,1094000.0,6,0.3526,6,0,Current,Closed,,1094000.0,0.0,Call + SMS
LN-500014,2024-01,Digital app,SME working capital,Western,621,Near-prime,1395000.0,18,0.3112,18,0,Current,Closed,,1395000.0,0.0,None
LN-500015,2024-01,Digital app,Salary advance,Central,630,Near-prime,684000.0,9,0.2958,9,0,Current,Closed,,684000.0,0.0,Call + SMS
LN-500016,2024-01,Digital app,Salary advance,Northern,669,Near-prime,1031000.0,24,0.2937,24,38,30-59,Closed,,1031000.0,0.0,Call + SMS
LN-500017,2024-01,Partner retail,Consumer durable,Central,629,Near-prime,1679000.0,18,0.3159,18,12,1-29,Closed,,1679000.0,0.0,Call + SMS
LN-500018,2024-01,Branch,Salary advance,Central,730,Prime,1227000.0,9,0.2047,9,0,Current,Closed,,1227000.0,0.0,Call + SMS
LN-500019,2024-01,Digital app,Consumer durable,Eastern,639,Near-prime,2946000.0,12,0.3157,12,35,30-59,Delinquent,7.0,862300.0,2083700.0,Call + SMS
LN-500020,2024-01,Agent network,Consumer durable,Eastern,628,Near-prime,541000.0,24,0.3197,24,0,Current,Closed,,541000.0,0.0,Call + SMS
LN-500021,2024-01,Branch,Asset finance,Western,647,Near-prime,1568000.0,9,0.3068,9,12,1-29,Closed,,1568000.0,0.0,Call + SMS
LN-500022,2024-01,Branch,Salary advance,Central,595,Subprime,4630000.0,24,0.3736,24,0,Current,Closed,,4630000.0,0.0,SMS only
LN-500023,2024-01,Agent network,Salary advance,Central,625,Near-prime,808000.0,12,0.2986,12,0,Current,Closed,,808000.0,0.0,SMS only
LN-500024,2024-01,Digital app,SME working capital,Central,563,Subprime,2802000.0,6,0.3805,6,0,Current,Closed,,2802000.0,0.0,Field visit
LN-500025,2024-01,Agent network,Salary advance,Western,577,Subprime,1702000.0,18,0.3447,18,0,Current,Closed,,1702000.0,0.0,Field visit
LN-500026,2024-01,Digital app,Asset finance,Central,740,Prime,793000.0,9,0.2135,9,0,Current,Closed,,793000.0,0.0,Call + SMS
LN-500027,2024-01,Partner retail,Consumer durable,Eastern,492,Subprime,2004000.0,6,0.3472,6,38,30-59,Closed,,2004000.0,0.0,SMS only
LN-500028,2024-01,Partner retail,SME working capital,Central,491,Subprime,1066000.0,6,0.3893,6,0,Current,Closed,,1066000.0,0.0,SMS only
LN-500029,2024-01,Branch,Consumer durable,Central,673,Near-prime,778000.0,9,0.328,9,12,1-29,Closed,,778000.0,0.0,Field visit
LN-500030,2024-01,Branch,Asset finance,Eastern,593,Subprime,392000.0,12,0.3842,12,0,Current,Closed,,392000.0,0.0,SMS only
LN-500031,2024-01,Digital app,Asset finance,Eastern,658,Near-prime,1617000.0,12,0.2895,12,0,Current,Closed,,1617000.0,0.0,SMS only
LN-500032,2024-01,Digital app,Asset finance,Central,628,Near-prime,668000.0,6,0.2944,6,0,Current,Closed,,668000.0,0.0,Call + SMS
LN-500033,2024-01,Digital app,Consumer durable,Northern,728,Prime,1508000.0,9,0.2155,9,0,Current,Closed,,1508000.0,0.0,None
LN-500034,2024-01,Digital app,Asset finance,Central,494,Subprime,1043000.0,18,0.3904,18,0,Current,Closed,,1043000.0,0.0,SMS only
LN-500035,2024-01,Agent network,Salary advance,Western,724,Prime,2819000.0,9,0.2343,9,0,Current,Closed,,2819000.0,0.0,SMS only
LN-500036,2024-01,Agent network,SME working capital,Central,483,Subprime,1812000.0,9,0.3574,9,130,90+,Default,6.0,475100.0,1336900.0,SMS only
LN-500037,2024-01,Branch,SME working capital,Central,655,Near-prime,731000.0,18,0.3302,18,0,Current,Closed,,731000.0,0.0,SMS only
LN-500038,2024-01,Digital app,SME working capital,Central,688,Near-prime,4447000.0,9,0.2957,9,38,30-59,Closed,,4447000.0,0.0,Field visit
LN-500039,2024-01,Agent network,SME working capital,Northern,620,Near-prime,1217000.0,24,0.2974,24,0,Current,Closed,,1217000.0,0.0,None
LN-500040,2024-01,Partner retail,Consumer durable,Western,621,Near-prime,1026000.0,18,0.2954,18,190,90+,Default,8.0,297600.0,728400.0,SMS only
LN-500041,2024-01,Agent network,Asset finance,Central,603,Subprime,1003000.0,12,0.3632,12,0,Current,Closed,,1003000.0,0.0,Call + SMS
LN-500042,2024-01,Digital app,Consumer durable,Central,716,Prime,688000.0,6,0.2265,6,12,1-29,Closed,,688000.0,0.0,SMS only
LN-500043,2024-01,Agent network,Asset finance,Central,653,Near-prime,1395000.0,18,0.3171,18,38,30-59,Closed,,1395000.0,0.0,SMS only
LN-500044,2024-01,Branch,Asset finance,Central,643,Near-prime,972000.0,24,0.2931,24,0,Current,Closed,,972000.0,0.0,None
LN-500045,2024-01,Partner retail,Consumer durable,Central,764,Prime,2775000.0,18,0.2097,18,0,Current,Closed,,2775000.0,0.0,Call + SMS
LN-500046,2024-01,Agent network,Salary advance,Central,589,Subprime,3546000.0,18,0.3881,18,0,Current,Closed,,3546000.0,0.0,None
LN-500047,2024-01,Agent network,Salary advance,Central,688,Near-prime,1204000.0,12,0.2984,12,0,Current,Closed,,1204000.0,0.0,SMS only
LN-500048,2024-01,Agent network,Salary advance,Western,598,Subprime,463000.0,12,0.3809,12,0,Current,Closed,,463000.0,0.0,Field visit
LN-500049,2024-01,Digital app,SME working capital,Central,577,Subprime,879000.0,6,0.381,6,0,Current,Closed,,879000.0,0.0,Call + SMS
LN-500050,2024-01,Digital app,SME working capital,Central,637,Near-prime,1353000.0,12,0.3121,12,0,Current,Closed,,1353000.0,0.0,SMS only
LN-500051,2024-01,Partner retail,Salary advance,Western,578,Subprime,1019000.0,9,0.3543,9,0,Current,Closed,,1019000.0,0.0,Call + SMS
LN-500052,2024-01,Partner retail,Consumer durable,Central,674,Near-prime,1309000.0,12,0.3112,12,0,Current,Closed,,1309000.0,0.0,Call + SMS
LN-500053,2024-01,Digital app,SME working capital,Western,642,Near-prime,368000.0,24,0.3262,24,0,Current,Closed,,368000.0,0.0,Field visit
LN-500054,2024-01,Branch,Asset finance,Central,602,Subprime,1656000.0,12,0.3746,12,38,30-59,Closed,,1656000.0,0.0,SMS only
LN-500055,2024-01,Branch,Salary advance,Eastern,592,Subprime,5236000.0,6,0.3493,6,0,Current,Closed,,5236000.0,0.0,Call + SMS
LN-500056,2024-01,Agent network,SME working capital,Central,695,Near-prime,2246000.0,6,0.2987,6,0,Current,Closed,,2246000.0,0.0,SMS only
LN-500057,2024-01,Partner retail,Salary advance,Northern,668,Near-prime,4739000.0,24,0.2942,24,0,Current,Closed,,4739000.0,0.0,None
LN-500058,2024-01,Branch,Consumer durable,Northern,691,Near-prime,714000.0,6,0.309,6,0,Current,Closed,,714000.0,0.0,Call + SMS
LN-500059,2024-01,Agent network,SME working capital,Eastern,592,Subprime,626000.0,6,0.3595,6,0,Current,Closed,,626000.0,0.0,Call + SMS
LN-500060,2024-01,Partner retail,Asset finance,Western,642,Near-prime,1624000.0,12,0.3254,12,0,Current,Closed,,1624000.0,0.0,Field visit
LN-500061,2024-01,Agent network,Salary advance,Eastern,639,Near-prime,1203000.0,12,0.3103,12,0,Current,Closed,,1203000.0,0.0,SMS only
LN-500062,2024-01,Agent network,Consumer durable,Central,507,Subprime,2750000.0,12,0.3767,12,190,90+,Default,2.0,1293100.0,1456900.0,SMS only
