cohort,months_on_book,cum_default_rate,loans_in_cohort
2024-01,1,1.55,452
2024-01,2,3.76,452
2024-01,3,5.53,452
2024-01,4,6.42,452
2024-01,5,7.3,452
2024-01,6,9.07,452
2024-01,7,9.51,452
2024-01,8,9.73,452
2024-01,9,10.4,452
2024-01,10,10.84,452
2024-01,11,11.06,452
2024-01,12,11.28,452
2024-02,1,3.77,424
2024-02,2,4.48,424
2024-02,3,5.19,424
2024-02,4,6.6,424
2024-02,5,7.78,424
2024-02,6,9.43,424
2024-02,7,9.67,424
2024-02,8,10.61,424
2024-02,9,11.79,424
2024-02,10,11.79,424
2024-02,11,12.03,424
2024-02,12,12.26,424
2024-03,1,1.73,347
2024-03,2,2.59,347
2024-03,3,4.61,347
2024-03,4,5.48,347
2024-03,5,8.36,347
2024-03,6,11.82,347
2024-03,7,12.39,347
2024-03,8,12.68,347
2024-03,9,12.97,347
2024-03,10,13.54,347
2024-03,11,13.54,347
2024-03,12,13.83,347
2024-04,1,1.98,454
2024-04,2,3.08,454
2024-04,3,4.41,454
2024-04,4,5.29,454
2024-04,5,7.05,454
2024-04,6,8.59,454
2024-04,7,10.13,454
2024-04,8,10.57,454
2024-04,9,11.67,454
2024-04,10,11.89,454
2024-04,11,12.11,454
2024-04,12,12.78,454
2024-05,1,1.34,372
2024-05,2,2.42,372
2024-05,3,2.96,372
2024-05,4,4.3,372
2024-05,5,5.38,372
2024-05,6,8.06,372
2024-05,7,8.6,372
2024-05,8,9.41,372
2024-05,9,9.68,372
2024-05,10,9.95,372
2024-05,11,9.95,372
2024-05,12,10.22,372
2024-06,1,1.29,542
2024-06,2,2.03,542
2024-06,3,3.51,542
2024-06,4,5.17,542
2024-06,5,6.09,542
2024-06,6,8.3,542
2024-06,7,9.04,542
2024-06,8,9.59,542
2024-06,9,11.44,542
2024-06,10,12.36,542
2024-06,11,12.36,542
2024-06,12,12.92,542
2024-07,1,1.59,378
2024-07,2,2.91,378
2024-07,3,4.5,378
2024-07,4,5.03,378
2024-07,5,6.88,378
2024-07,6,10.05,378
2024-07,7,11.38,378
2024-07,8,12.96,378
2024-07,9,13.49,378
2024-07,10,13.76,378
2024-07,11,14.02,378
2024-07,12,14.29,378
2024-08,1,1.23,488
2024-08,2,1.84,488
2024-08,3,2.66,488
2024-08,4,4.1,488
2024-08,5,5.33,488
2024-08,6,6.76,488
2024-08,7,7.79,488
2024-08,8,8.4,488
2024-08,9,9.84,488
2024-08,10,10.04,488
2024-08,11,10.04,488
2024-08,12,10.66,488
2024-09,1,1.7,470
2024-09,2,3.4,470
2024-09,3,4.26,470
2024-09,4,6.17,470
2024-09,5,7.87,470
2024-09,6,10.0,470
2024-09,7,10.64,470
2024-09,8,11.28,470
2024-09,9,12.34,470
2024-09,10,12.55,470
2024-09,11,12.98,470
2024-09,12,13.62,470
2024-10,1,0.67,446
2024-10,2,1.79,446
2024-10,3,4.26,446
2024-10,4,5.83,446
2024-10,5,8.3,446
2024-10,6,10.31,446
2024-10,7,11.43,446
2024-10,8,11.43,446
2024-10,9,12.11,446
2024-10,10,12.11,446
2024-10,11,12.33,446
2024-10,12,12.56,446
2024-11,1,1.37,584
2024-11,2,2.57,584
2024-11,3,3.42,584
2024-11,4,4.45,584
2024-11,5,5.48,584
2024-11,6,6.34,584
2024-11,7,7.02,584
2024-11,8,7.02,584
2024-11,9,7.88,584
2024-11,10,8.22,584
2024-11,11,8.56,584
2024-11,12,8.73,584
2024-12,1,0.86,350
2024-12,2,2.86,350
2024-12,3,4.0,350
2024-12,4,5.43,350
2024-12,5,6.86,350
2024-12,6,8.29,350
2024-12,7,9.14,350
2024-12,8,9.71,350
2024-12,9,10.0,350
2024-12,10,10.57,350
2024-12,11,10.57,350
2024-12,12,10.57,350
2025-01,1,1.08,464
2025-01,2,1.51,464
2025-01,3,2.59,464
2025-01,4,3.66,464
2025-01,5,4.74,464
2025-01,6,7.54,464
2025-01,7,8.62,464
2025-01,8,9.05,464
2025-01,9,9.48,464
2025-01,10,10.13,464
2025-01,11,10.34,464
2025-01,12,10.78,464
2025-02,1,0.98,410
2025-02,2,2.2,410
2025-02,3,3.66,410
2025-02,4,5.85,410
2025-02,5,8.54,410
2025-02,6,10.98,410
2025-02,7,11.22,410
2025-02,8,11.46,410
2025-02,9,12.68,410
2025-02,10,13.41,410
2025-02,11,13.9,410
2025-02,12,14.15,410
2025-03,1,2.17,368
2025-03,2,3.8,368
2025-03,3,5.16,368
2025-03,4,7.34,368
2025-03,5,8.42,368
2025-03,6,9.78,368
2025-03,7,10.6,368
2025-03,8,11.68,368
2025-03,9,12.5,368
2025-03,10,12.77,368
2025-03,11,12.77,368
2025-03,12,13.04,368
2025-04,1,1.58,380
2025-04,2,3.42,380
2025-04,3,4.74,380
2025-04,4,7.63,380
2025-04,5,7.89,380
2025-04,6,8.68,380
2025-04,7,9.47,380
2025-04,8,9.74,380
2025-04,9,11.05,380
2025-04,10,11.32,380
2025-04,11,11.58,380
2025-04,12,11.84,380
2025-05,1,1.46,480
2025-05,2,1.67,480
2025-05,3,2.5,480
2025-05,4,3.96,480
2025-05,5,4.79,480
2025-05,6,6.04,480
2025-05,7,6.88,480
2025-05,8,7.5,480
2025-05,9,8.75,480
2025-05,10,9.17,480
2025-05,11,9.17,480
2025-05,12,9.38,480
2025-06,1,1.32,456
2025-06,2,2.19,456
2025-06,3,3.73,456
2025-06,4,5.26,456
2025-06,5,6.14,456
2025-06,6,8.99,456
2025-06,7,9.87,456
2025-06,8,10.31,456
2025-06,9,10.75,456
2025-06,10,10.75,456
2025-06,11,11.4,456
2025-06,12,12.06,456
2025-07,1,2.56,586
2025-07,2,4.61,586
2025-07,3,6.48,586
2025-07,4,9.39,586
2025-07,5,11.09,586
2025-07,6,14.51,586
2025-07,7,16.04,586
2025-07,8,17.06,586
2025-07,9,18.43,586
2025-07,10,18.94,586
2025-07,11,20.48,586
2025-08,1,1.47,885
2025-08,2,3.5,885
2025-08,3,7.57,885
2025-08,4,9.94,885
2025-08,5,11.64,885
2025-08,6,14.01,885
2025-08,7,15.48,885
2025-08,8,15.93,885
2025-08,9,17.4,885
2025-08,10,19.32,885
2025-09,1,3.28,519
2025-09,2,5.78,519
2025-09,3,7.51,519
2025-09,4,10.6,519
2025-09,5,13.68,519
2025-09,6,17.34,519
2025-09,7,18.5,519
2025-09,8,18.88,519
2025-09,9,22.16,519
2025-10,1,2.59,771
2025-10,2,4.93,771
2025-10,3,6.49,771
2025-10,4,8.56,771
2025-10,5,10.38,771
2025-10,6,12.84,771
2025-10,7,13.88,771
2025-10,8,18.42,771
2025-11,1,2.66,752
2025-11,2,5.32,752
2025-11,3,7.05,752
2025-11,4,8.51,752
2025-11,5,10.37,752
2025-11,6,13.03,752
2025-11,7,17.42,752
2025-12,1,2.72,698
2025-12,2,3.87,698
2025-12,3,6.16,698
2025-12,4,7.02,698
2025-12,5,8.31,698
2025-12,6,14.9,698
2026-01,1,1.4,428
2026-01,2,2.8,428
2026-01,3,3.04,428
2026-01,4,3.97,428
2026-01,5,9.58,428
2026-02,1,1.34,522
2026-02,2,1.53,522
2026-02,3,1.92,522
2026-02,4,7.09,522
2026-03,1,1.23,406
2026-03,2,1.48,406
2026-03,3,5.91,406
